epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9163.79,0.78662,0.38281,0.83061,0.89627,0.62625,0.74277,0.53371,0.70135,0.32997,0.81456,0.007228,0.007228,0.007228
44,9376.04,0.78827,0.38417,0.831,0.8878,0.62695,0.73838,0.52968,0.70082,0.33181,0.81452,0.007162,0.007162,0.007162
45,9588.59,0.78692,0.38148,0.83096,0.90154,0.62903,0.74548,0.53666,0.69871,0.32848,0.814,0.007096,0.007096,0.007096
46,9801.04,0.78319,0.38067,0.83055,0.90635,0.62895,0.74491,0.53558,0.6953,0.32641,0.81272,0.00703,0.00703,0.00703
47,10013.9,0.77932,0.37801,0.83207,0.89847,0.62727,0.74279,0.5344,0.6932,0.32411,0.81255,0.006964,0.006964,0.006964
48,10226.7,0.77859,0.3759,0.83033,0.89937,0.63117,0.7448,0.53871,0.69363,0.32475,0.81259,0.006898,0.006898,0.006898
49,10439.5,0.77714,0.37621,0.8293,0.90392,0.63004,0.74631,0.5387,0.69097,0.32329,0.81363,0.006832,0.006832,0.006832
50,10651.9,0.77587,0.37499,0.82957,0.90416,0.62766,0.74575,0.5396,0.69108,0.32255,0.81238,0.006766,0.006766,0.006766
51,10864.6,0.77318,0.37352,0.82797,0.91517,0.62327,0.74843,0.54174,0.68644,0.3206,0.81117,0.0067,0.0067,0.0067
52,11077.1,0.77396,0.37254,0.82723,0.90814,0.6268,0.74806,0.54174,0.68801,0.31929,0.81184,0.006634,0.006634,0.006634
53,11290,0.76771,0.37092,0.82753,0.90241,0.63047,0.74984,0.54434,0.68702,0.31899,0.81145,0.006568,0.006568,0.006568
54,11502.7,0.76788,0.37215,0.82849,0.89678,0.63357,0.75125,0.54446,0.68619,0.31784,0.81096,0.006502,0.006502,0.006502
55,11715.2,0.76634,0.36967,0.82671,0.90231,0.63503,0.75225,0.54661,0.68469,0.3169,0.81121,0.006436,0.006436,0.006436
56,11928.3,0.7697,0.3699,0.8278,0.90445,0.63237,0.74955,0.54635,0.68538,0.31817,0.81126,0.00637,0.00637,0.00637
57,12141.4,0.75975,0.368,0.82801,0.90184,0.63573,0.7505,0.54545,0.68259,0.31653,0.81062,0.006304,0.006304,0.006304
58,12354.4,0.75914,0.36495,0.82527,0.90374,0.63668,0.75094,0.54777,0.67994,0.31415,0.81025,0.006238,0.006238,0.006238
59,12567.3,0.76075,0.36756,0.82652,0.89936,0.63872,0.75234,0.54756,0.67949,0.31387,0.81013,0.006172,0.006172,0.006172
60,12780.2,0.75916,0.36455,0.82681,0.89342,0.63974,0.7519,0.54866,0.67817,0.31418,0.81012,0.006106,0.006106,0.006106
61,12993.3,0.75536,0.36511,0.82452,0.90153,0.63904,0.75484,0.55069,0.67738,0.31215,0.80941,0.00604,0.00604,0.00604
62,13205.9,0.75399,0.3617,0.82572,0.89825,0.63797,0.75286,0.54974,0.67567,0.31158,0.80998,0.005974,0.005974,0.005974
63,13419.2,0.75681,0.36156,0.82682,0.9018,0.63882,0.75435,0.55063,0.67467,0.31123,0.81002,0.005908,0.005908,0.005908
64,13631.9,0.75144,0.36033,0.82399,0.90426,0.64021,0.75691,0.55177,0.67253,0.3103,0.80919,0.005842,0.005842,0.005842
65,13845.2,0.74844,0.35877,0.8244,0.90035,0.64355,0.75565,0.55192,0.67201,0.30961,0.80933,0.005776,0.005776,0.005776
66,14058.8,0.7499,0.35993,0.82493,0.89892,0.64168,0.75569,0.5518,0.67187,0.30917,0.80907,0.00571,0.00571,0.00571
67,14271.8,0.74833,0.35931,0.82457,0.90415,0.63933,0.75589,0.55193,0.67102,0.30995,0.80901,0.005644,0.005644,0.005644
68,14484.6,0.75018,0.35841,0.82502,0.9086,0.64086,0.7578,0.55366,0.66947,0.30898,0.80827,0.005578,0.005578,0.005578
69,14697.4,0.74727,0.35815,0.82392,0.90181,0.64265,0.75773,0.55511,0.66731,0.30754,0.80823,0.005512,0.005512,0.005512
