epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9066.84,0.75518,0.36585,0.80455,0.91663,0.66606,0.78289,0.57314,0.6866,0.32013,0.79574,0.007228,0.007228,0.007228
44,9276.23,0.75428,0.36452,0.80438,0.91437,0.66334,0.7792,0.57179,0.68499,0.31865,0.79562,0.007162,0.007162,0.007162
45,9486.28,0.75495,0.36391,0.80485,0.91722,0.66759,0.78187,0.57144,0.68165,0.31613,0.79498,0.007096,0.007096,0.007096
46,9697.21,0.74953,0.36142,0.80339,0.91475,0.66594,0.77835,0.56995,0.68114,0.31521,0.7953,0.00703,0.00703,0.00703
47,9908.51,0.74967,0.36116,0.80475,0.90303,0.67634,0.78225,0.57169,0.68094,0.31393,0.7951,0.006964,0.006964,0.006964
48,10120,0.74796,0.36079,0.80427,0.90586,0.67297,0.78173,0.57459,0.68055,0.31286,0.79514,0.006898,0.006898,0.006898
49,10330.6,0.74695,0.3592,0.80396,0.9114,0.66931,0.78217,0.57502,0.67683,0.31205,0.79474,0.006832,0.006832,0.006832
50,10541.7,0.74445,0.35923,0.80453,0.90503,0.67207,0.78226,0.57497,0.67619,0.31194,0.79436,0.006766,0.006766,0.006766
51,10752.7,0.74201,0.35722,0.80286,0.896,0.67715,0.78478,0.57895,0.6744,0.31018,0.79418,0.0067,0.0067,0.0067
52,10963.9,0.74282,0.35708,0.80245,0.90225,0.67766,0.78666,0.57851,0.67341,0.30895,0.79406,0.006634,0.006634,0.006634
53,11176,0.73849,0.35606,0.80323,0.90949,0.67122,0.78608,0.57871,0.67507,0.30849,0.79404,0.006568,0.006568,0.006568
54,11387.4,0.73735,0.35618,0.80244,0.91008,0.6772,0.789,0.58057,0.67548,0.30863,0.79373,0.006502,0.006502,0.006502
55,11597.3,0.73497,0.35302,0.8013,0.9062,0.67941,0.78688,0.58049,0.67347,0.30649,0.79358,0.006436,0.006436,0.006436
56,11807,0.73952,0.35474,0.80254,0.90967,0.67504,0.78789,0.58017,0.67189,0.30726,0.79335,0.00637,0.00637,0.00637
